,Название программы,Название вуза,Город,Направление,Уровень,Язык обучения,Продолжительность,Форма обучения,Возможность бесплатного обучения,Стоимость обучения,Где проходит обучение,Ссылка
2934,Философия,ДВФУ,Владивосток,"Философия, этика и религиоведение",магистратура,русский,2 года                                            ,очная,есть,250000,Владивосток ,https://studyinrussia.ru/study-in-russia/programs/9713-filosofiya/info/
2935,Философия,БФУ,Калининград,"Философия, этика и религиоведение",магистратура,русский,2 года                                            ,очная,есть,2450,Калининград ,https://studyinrussia.ru/study-in-russia/programs/282616-filosofiya_mag/info/
2936,Философия,РУДН,Москва,"Философия, этика и религиоведение",бакалавриат,русский,4 года                                            ,очная,есть,2364003300,,https://studyinrussia.ru/study-in-russia/programs/16379-filosofiya/info/
2937,Философия и история религии,ВШЭ,Москва,"Философия, этика и религиоведение",магистратура,"русский, английский",2 года                                            ,очная,есть,390000,Москва ,https://studyinrussia.ru/study-in-russia/programs/13458-filosofiya-i-istoriya-religii/info/
2938,Философия и методология науки и техники,ТГУ,Томск,"Философия, этика и религиоведение",магистратура,русский,2 года                                            ,очная,нет,185200,Томск ,https://studyinrussia.ru/study-in-russia/programs/10768-filosofiya-i-metodologiya-nauki-i-tekhniki/info/
2939,Философия науки,НГУ,Новосибирск,"Философия, этика и религиоведение",аспирантура,русский,3 года                                            ,очная,есть,5500,Новосибирск ,https://studyinrussia.ru/study-in-russia/programs/93961-filosofiya-nauki/info/
2940,"Философия, этика и религиоведение",ТГУ,Томск,"Философия, этика и религиоведение",аспирантура,"русский, английский",6 480 часов                                            ,очная,нет,157200,Томск ,https://studyinrussia.ru/study-in-russia/programs/12053-filosofiya-etika-i-religiovedenie/info/
2941,"Философия, этика и религиоведение",ДВФУ,Владивосток,"Философия, этика и религиоведение",аспирантура,русский,3 года                                            ,"очная, заочная",есть,290000140000,Владивосток ,https://studyinrussia.ru/study-in-russia/programs/9776-filosofiya-etika-i-religiovedenie/info/
2942,"Философия, этика и религиоведение",КФУ,Казань,"Философия, этика и религиоведение",аспирантура,русский,4 года                                            ,"очная, заочная",есть,148800,"Казань, Набережные Челны, Елабуга                                            ",https://studyinrussia.ru/study-in-russia/programs/9307-filosofiya-etika-i-religiovedenie/info/
2943,"Философия, этика и религиоведение",ТПУ,Томск,"Философия, этика и религиоведение",аспирантура,русский,3 года                                            ,очная,есть,104600,Томск ,https://studyinrussia.ru/study-in-russia/programs/10113-filosofiya-etika-i-religiovedenie/info/
2944,"Философия, этика и религиоведение",СПбПУ,Санкт-Петербург,"Философия, этика и религиоведение",аспирантура,русский,3 года                                            ,очная,есть,242000253000,Санкт-Петербург ,https://studyinrussia.ru/study-in-russia/programs/13450-filosofiya-etika-i-religiovedenie/info/
2945,"Философия, этика и религиоведение",Университет ИТМО,Санкт-Петербург,"Философия, этика и религиоведение",аспирантура,русский,3 года                                            ,очная,есть,251000,Санкт-Петербург ,https://studyinrussia.ru/study-in-russia/programs/12989-filosofiya-etika-i-religiovedenie/info/
2946,"Философия, этика и религиоведение (Аспирантура)",ЛЭТИ,Санкт-Петербург,"Философия, этика и религиоведение",аспирантура,русский,3 года                                            ,очная,есть,220000,Санкт-Петербург ,https://studyinrussia.ru/study-in-russia/programs/64149-filosofiya-etika-i-religiovedenie/info/
2947,"Философия, этика, религиоведение",ТюмГУ,Тюмень,"Философия, этика и религиоведение",аспирантура,русский,3 для очной формы обучения; 4 для заочной формы обучения года                                            ,"очная, заочная",есть,7978035830,Тюмень ,https://studyinrussia.ru/study-in-russia/programs/16141-filosofiya-etika-religiovedenie/info/
2948,Философия: диалог культур,РУДН,Москва,"Философия, этика и религиоведение",магистратура,русский,2 года                                            ,очная,нет,3500,Москва ,https://studyinrussia.ru/study-in-russia/programs/113540-filosofiya-dialog-kultur/info/
2949,Философская антропология,ВШЭ,Москва,"Философия, этика и религиоведение",магистратура,"русский, английский",2 года                                            ,очная,есть,390000,Москва ,https://studyinrussia.ru/study-in-russia/programs/13046-filosofskaya-antropologiya/info/
